definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
chos rnams so so'i ming ni sgyu ma ste ,ཆོས་རྣམས་སོ་སོའི་མིང་ནི་སྒྱུ་མ་སྟེ་,,{C}pratidharma (=dharmā prati nāman),individual names of phenomena,,{C}counter-dharma,,,,,,,,,,,,,,,,,,,
chos pa ,ཆོས་པ་,,,religious practitioner; Buddhist {GZ 68b. 3},,,,,,,,,SW added this entry,bod kyi chos pa rnams la zhal ta'i spring yig ,,,,,,letter of advice to the religious practitioners/ Buddhists of Tibet,,,,,
chos spong ,ཆོས་སྤོང་,spang  spong  spangs  spongs ,,abandoning the doctrine ,,,,,,,,,,,,,,,,,,,,,
chos spong ba ,ཆོས་སྤོང་བ་,spang  spong  spangs  spongs ,{C}dharma-pratyākyāna,abandoning doctrine; abandoning phenomena,,{C}refusal of Dharma,,,,,,,,,,,,,,,,,,,
chos spong bar 'gyur ba ,ཆོས་སྤོང་བར་འགྱུར་བ་,spang  spong  spangs  spongs ,{C}dharma-pratyākhyāna-saṃvartanīya,abandoning doctrine; abandoning phenomena,,{C}(a karma) conducive to the rejection of Dharma,,,,,,,,,,,,,,,,,,,
chos spyod ,ཆོས་སྤྱོད་,spyad  spyod  spyad  spyod ,{C}dharma-caryā; {MV}dharma-carita,practice doctrine; religious practice,,{C}righteous life; practice of Dharma,,,,,,,,,,,,,,,,,,,
chos spyod pa ,ཆོས་སྤྱོད་པ་,spyad  spyod  spyad  spyod ,{MV}dharma-carita,practice doctrine; religious practice,,,,,,,,,,,,,,,,,,,,,
chos spyod pa bcu ,ཆོས་སྤྱོད་པ་བཅུ་,spyad  spyod  spyad  spyod ,{MSA}dharma-carita (daśa-),ten religious practices,,,,,,,,,,,,,,,,,,,,,
chos phyir ,ཆོས་ཕྱིར་,,{C}dharma-artha,,,{C}the meaning of Dharma,,,,,,,,,,,,,,,,,,,
chos 'phags ,ཆོས་འཕགས་,,{L}dharmodgata,wise with respect to doctrine; wise with respect to phenomena; p.n. of a Bodhisattva,,{C}'wise in Dharma'; exalted by Dharma; ascent to all dharmas,,,,,,,,,,,,,,,,,,,
chos dbying ,ཆོས་དབྱིང་,,dharma-dhātu,element of [superior] qualities; sphere of reality; nature of phenomena{Gön-chok},,,,,,,chos kyi dbyings ,,,,,,,,,,,,,,
chos dbyings ,ཆོས་དབྱིངས་,chos kyi dbyings ,dharmadhātu,element of [superior] qualities; sphere of reality; nature of phenomena; the element of [a Superior's] qualities; basic element of attributes; noumenal expanse; expanse of reality; basic element of [superior] qualities; basic element of phenomena; element of reality,,,,,,,chos kyi dbyings ,,"Comment: An equivalent of ultimate truth (don dam bden pa, paramārthasatya) so called because meditation within observing it acts as a cause of the qualities (dharma, chos) of Superiors (ārya, 'phags pa).""  Emptiness, being uncaused, is not itself a cause (element), but meditation on it causes the development of marvelous qualities; thus, emptiness comes to be called a cause, an element producing those qualities.",,,,,,,,,,,,
chos dbyings stod pa ,ཆོས་དབྱིངས་སྟོད་པ་,chos kyi dbyings su bstod pa ,,Nāgārjuna's Praise of the Basic Element of [Superior] Qualities (dharmadhātustava),,,,,,,,,{PH} I added expanded Tibetan & full bib info,,,,,,,,,,,,
chos dbyings ye shes ,ཆོས་དབྱིངས་ཡེ་ཤེས་,,dharmadhātujñāna ,exalted wisdom of the element of qualities; exalted wisdom of the sphere of reality; exalted wisdom of the nature of phenomena,,,,,,,,,,,,,,,,,,,,,
chos ma bstan ,ཆོས་མ་བསྟན་,bstan  ston  bstand  stond ,{MSA}dharmo naiva deśitaḥ,not teaching doctrine,,,,,,,,,,,,,,,,,,,,,
chos ma mos pa ,ཆོས་མ་མོས་པ་,mos  mos  mos  mos ,{C}dharma-ārāma(ta),non-belief/faith/interest/inclined towards/zeal  in doctrine,,{C}fondness for Dharma,,,,,,,,,,,,,,,,,,,
chos ma yin pa ,ཆོས་མ་ཡིན་པ་,,{C}adharma,improper{N},,{C}(what is) no dharma; non-dharma,,,,,,,,,,,,,,,,,,,
chos mi mthun sbyor gyi sgrub ngag ,ཆོས་མི་མཐུན་སྦྱོར་གྱི་སྒྲུབ་ངག་,bsgrub  sgrub  bsgrubs  sgrubs ,vaidharmya-prayoga-sādhana-vākya ,proof statement using a qualitative dissimilarity,,,,,,,,,,,,,,,,,,,,,
chos mi ldog pa'i rtags ,ཆོས་མི་ལྡོག་པའི་རྟགས་,ldog  ldog  ldogs  ldogs ,,sign of not reversing from the doctrine,,,,,,,,,,,,,,,,,,,,,
chos ming ,ཆོས་མིང་,,{C}dharma-nāma,names of phenomena; names of doctrines,,{C}names of dharmas,,,,,,,,,,,,,,,,,,,
chos min ,ཆོས་མིན་,,{C}adharma,improper; non-religious,,{C}(what is) no dharma; non-dharma,,,,,,,,,,,,,,,,,,,
chos min bya ba ,ཆོས་མིན་བྱ་བ་,,{C}adharma-kārya,acting improperly,,{C}do what is wrong,,,,,,,,,,,,,,,,,,,
chos med pa ,ཆོས་མེད་པ་,,{MSA}dharmābhāva,non-existence of phenomena,,,,,,,,,,,,,,,,,,,,,
chos dmigs pa ,ཆོས་དམིགས་པ་,dmigs  dmigs  dmigs  dmigs ,{MSA}dharma ... upalabdhi,observing phenomena/doctrine,,,,,,,,,,,,,,,,,,,,,
chos ... smos ,"ཆོས་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་སྨོས་",,{MSA}dharma ... sūcana,statement of doctrine,,,,,,,,,,,,,,,,,,,,,
chos smra ,ཆོས་སྨྲ་,,{C}dharma-bhānaka,Proponent of Doctrine,,{C}Dharma preacher; reciter of Dharma,,,,,,,,,,,,,,,,,,,
chos smra ba ,ཆོས་སྨྲ་བ་,,{C}dharma-bhānaka; {C}dharma-vādin,Proponent of Doctrine,,{C}Dharma preacher; reciter of Dharma; one who preaches Dharma,,,,,,,,,,,,,,,,,,,
chos tshad med pa yongs su tshol zhing 'dzin pa ,ཆོས་ཚད་མེད་པ་ཡོངས་སུ་ཚོལ་ཞིང་འཛིན་པ་,btsal  'tshol/'tshel  btsal  tshold ,{MSA}dharma-paryeṣaṇa-dhāraṇa (apramāṇa-),thoroughly investigation/examination/research and apprehending countless phenomena/doctrines,,,,,,,,,,,,,,,,,,,,,
chos tshig ,ཆོས་ཚིག་,,{C}dharma-pada (prabhedo),,,{C}verbal expression,,,,,,,,,,,,,,,,,,,
chos tshul ,ཆོས་ཚུལ་,,{C}dharma-netrī; dharma-naya ,the way of doctrine,,{C}the guide to Dharma,,,,,,,,,,,,,,,,,,,
chos tshol ba ,ཆོས་ཚོལ་བ་,btsal  'tshol/'tshel  btsal  tshold ,{MSA}dharma-paryeṣṭi,investigate/examine/research phenomena/doctrine,,,,,,,,,,,,,,,,,,,,,
chos mdzod ,ཆོས་མཛོད་,,{C}dharma-koṣa,treasury of doctrine,,{C}storehouse of Dharma,,,,,,,,,,,,,,,,,,,
chos rdzogs longs spyod ,ཆོས་རྫོགས་ལོངས་སྤྱོད་,spyad  spyod  spyad  spyod ,{MSA}dharma-saṃbhoga,complete enjoyment of doctrine,,,,,,,,,,,,,,,,,,,,,
chos bzod ,ཆོས་བཟོད་,bzod  bzod  bzod  bzod ,dharmakṣānti,doctrinal forbearance; forbearance with respect to the doctrine [of...],,,,,,,,,,,,,,,,,,,,,
chos bzod shes ,ཆོས་བཟོད་ཤེས་,bzod  bzod  bzod  bzod ,{C}dharma-jñāna-kṣānti,doctrinal forbearance and knowledge,,{C}acceptance of the recognition of Dharma,,,,,,,,,,,,,,,,,,,
chos yang dag par sdud pa'i mdo ,ཆོས་ཡང་དག་པར་སྡུད་པའི་མདོ་,bsdu  sdud  bsdus  sdus ,dharmasaṃgīti-sūtra ,"Compendium of Doctrine Sūtra (dharmasaṃgīti-sūtra), P. 90, vol. 36",,,,,,,,,,,,,,,,,,,,,
chos yin pa ,ཆོས་ཡིན་པ་,,dharma,proper{N},,,,,,,,,,,,,,,,,,,,,
chos yongs su tshol ba ,ཆོས་ཡོངས་སུ་ཚོལ་བ་,btsal  'tshol/'tshel  btsal  tshold ,{MSA}dharma-paryeṣṭi,investigate/examine/research phenomena/doctrine,,,,,,,,,,,,,,,,,,,,,
chos ra ,ཆོས་ར་,,,debating courtyard,,,,,,,,,,,,,,,,,,,,,
chos rab tu rnam par 'byed pa ,ཆོས་རབ་ཏུ་རྣམ་པར་འབྱེད་པ་,,{MSA}dharma-pravicaya,differentiation of phenomena,,,,,,,,,,,,,,,,,,,,,
chos rab ston ,ཆོས་རབ་སྟོན་,bstan  ston  bstand  stond ,{MSA}dharma-prakāśana,thoroughly teach doctrine,,,,,,,,,,,,,,,,,,,,,
chos la khong khro sgrib ,ཆོས་ལ་ཁོང་ཁྲོ་སྒྲིབ་,,{MSA}dharme pratighāvati (=dharme pratighāvṛti?),obstruction of anger with respect to doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la khong khro ba'i sgrib pa ,ཆོས་ལ་ཁོང་ཁྲོ་བའི་སྒྲིབ་པ་,,{MSA}dharme ca pratighātam āvaraṇaṃ ca,obstruction of anger with respect to doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la gus pa ,ཆོས་ལ་གུས་པ་,,{C}dharma-gaurava,respect for doctrine,,{C}respect for the Dharma; the Dharma which they value,,,,,,,,,,,,,,,,,,,
chos la dga' ,ཆོས་ལ་དགའ་,,{MSA}dharma-rata,joy in doctrine,,,,,,,,,,,,,,,,,,,,,
chos la dga' ba ,ཆོས་ལ་དགའ་བ་,,{C}dharma-rati,joy in doctrine,,{C}delight in Dharma,,,,,,,,,,,,,,,,,,,
chos la sgro 'dogs pa'i mtha' ,ཆོས་ལ་སྒྲོ་འདོགས་པའི་མཐའ་,gdags  'dogs  btags/brtags  thogs ,{MV}dharma-samāropanta,extreme of superimposition/exaggeration/reification with respect to phenomena,,,,,,,,,,,,,,,,,,,,,
chos la nga rgyal spangs pa ,ཆོས་ལ་ང་རྒྱལ་སྤངས་པ་,spang  spong  spangs  spongs ,{MSA}dharma-vibhūta-māna,abandon pride with respect to qualities/doctrine,,,,,,,,,,,,,,,,,,,,,
chos la nges rtogs kyi bzod pa ,ཆོས་ལ་ངེས་རྟོགས་ཀྱི་བཟོད་པ་,bzod  bzod  bzod  bzod ,dharma-nidhyāna-kṣānti,forbearance of the definite realization of doctrine,,,,,,,,,,,,,,,,,,,,,
chos la nges par rtog pa'i bzod pa ,ཆོས་ལ་ངེས་པར་རྟོག་པའི་བཟོད་པ་,bzod  bzod  bzod  bzod ,{MSA}dharma-nidhyāna-kṣānti,forbearance of the definite realization of doctrine,,,,,,,,,,,,,,,,,,,,,
chos la gcig tu dga' zhing ,ཆོས་ལ་གཅིག་ཏུ་དགའ་ཞིང་,,{C}ekānta-dharma-nirata,delighting only in doctrine,,{C}take delight only in Dharma,,,,,,,,,,,,,,,,,,,
chos la brten pa ,ཆོས་ལ་བརྟེན་པ་,,{MSA}dharma-saṃśraya,depending upon doctrine; depending upon phenomena,,,,,,,,,,,,,,,,,,,,,
chos la bdag med pa ,ཆོས་ལ་བདག་མེད་པ་,,"{MSA,MV}dharma-nairātmya",selflessness of phenomena,,,,,,,,,,,,,,,,,,,,,
chos la bdag med pa'i ye shes rnam par mi rtog pa ,ཆོས་ལ་བདག་མེད་པའི་ཡེ་ཤེས་རྣམ་པར་མི་རྟོག་པ་,,{MSA}nirvikalpa ... dharma-nairātmya-jñāna,not realizing the exalted wisdom [realizing] the selflessness of phenomena,,,,,,,,,,,,,,,,,,,,,
chos la bag yod pa ,ཆོས་ལ་བག་ཡོད་པ་,,{MSA}dharmāpramatta,conscientiousness with respect to doctrine,,,,,,,,,,,,,,,,,,,,,
chos la dbang ba ,ཆོས་ལ་དབང་བ་,,{MSA}dharme vaśi,power with respect to doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la mi dga' ,ཆོས་ལ་མི་དགའ་,,{MSA}dharme 'rataḥ,not delighting in doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la mi mos pa ,ཆོས་ལ་མི་མོས་པ་,mos  mos  mos  mos ,{MV}anadhimuktir dharme,non-belief/faith/interest/inclined towards/zeal in doctrine,,,,,,,,,,,,,,,,,,,,,
chos la mi g.yo ,ཆོས་ལ་མི་གཡོ་,,{MSA}dharme 'calaḥ,unmoving with respect to doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la mun pa med ,ཆོས་ལ་མུན་པ་མེད་,,{MSA}dharma-nirandhakāra,non-obscuration with respect to doctrine,,,,,,,,,,,,,,,,,,,,,
chos la mos ,ཆོས་ལ་མོས་,mos  mos  mos  mos ,{MSA}dharmādhimokṣa,belief/faith/interest/inclined towards/zeal in doctrine,,,,,,,,,,,,,,,,,,,,,
chos la mos pa ,ཆོས་ལ་མོས་པ་,mos  mos  mos  mos ,dharma-ārāma(tā); {MSA}dharmādhimukti; {MSA}dharma ... adhimokṣa; {MSA}dharmato 'dhimokṣāt,belief/faith/interest/inclined towards/zeal in doctrine,,{C}fondness for Dharma,,,,,,,,,,,,,,,,,,,
chos la mos pa'i rnal 'byor la brtson pa ,ཆོས་ལ་མོས་པའི་རྣལ་འབྱོར་ལ་བརྩོན་པ་,,{C}dharma-ārāma-yogam anuyuktatā,effort in the yoga of belief in doctrine,,{C}the giving oneself up to devoted fondness for Dharma,,,,,,,,,,,,,,,,,,,
chos la mos pa'i rnal 'byor la brtson par bya'o ,ཆོས་ལ་མོས་པའི་རྣལ་འབྱོར་ལ་བརྩོན་པར་བྱའོ་,,{C}dharma-ārāma(tā)-yogam anuyuktena bhavitavyam,one should make effort in the yoga of belief in doctrine,,{C}should have devotion to Dharma,,,,,,,,,,,,,,,,,,,
chos la mos par byed ,ཆོས་ལ་མོས་པར་བྱེད་,mos  mos  mos  mos ,{MSA}dharmam adhimucyate,belief/faith/interest/inclined towards/zeal in doctrine,,,,,,,,,,,,,,,,,,,,,
chos la mos pa'i sa bon ,ཆོས་ལ་མོས་པའི་ས་བོན་,mos  mos  mos  mos ,{MSA}dharmādhimukti-bīja,seeds of belief/faith/interest/inclination towards/zeal in doctrine,,,,,,,,,,,,,,,,,,,,,
chos la dmigs pa ,ཆོས་ལ་དམིགས་པ་,dmigs  dmigs  dmigs  dmigs ,{MSA}dharmālambana,observing phenomenon; observing phenomena,,,,,,,,,,,,,,,,,,,,,
chos la dmigs pa'i snying rje ,ཆོས་ལ་དམིགས་པའི་སྙིང་རྗེ་,dmigs  dmigs  dmigs  dmigs ,dharmālambanā-karuṇā,compassion observing phenomena,,,,,,,,,,,,,,,,,,,,,
chos la dmigs pa'i byams pa ,ཆོས་ལ་དམིགས་པའི་བྱམས་པ་,dmigs  dmigs  dmigs  dmigs ,*dharmālaṃbanā maitri,love observing phenomena,,,,,,,,,,,,,,,,,,,,,
chos la tshul bzhin yid la byed pa ,ཆོས་ལ་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་,,{MSA}yoniśo dharma-manasikāraḥ,mental engagement in accordance with doctrine/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la zhugs pa ,ཆོས་ལ་ཞུགས་པ་,zhug  'jug  zhugs  zhugs ,{MSA}dharma-pravṛtti,enter into doctrine,,,,,,,,,,,,,,,,,,,,,
chos la bzod pa ,ཆོས་ལ་བཟོད་པ་,bzod  bzod  bzod  bzod ,"{MV,MSA}dharma-kṣānti",doctrinal forbearance; forbearance with respect to the doctrine [of...],,,,,,,,,,,,,,,,,,,,,
chos la rin po cher 'du shes ,ཆོས་ལ་རིན་པོ་ཆེར་འདུ་ཤེས་,,{MSA}dharma-ratna-saṃjñā,discrimination with respect to the precious doctrine; discrimination with respect to precious qualities/phenomena,,,,,,,,,,,,,,,,,,,,,
chos la longs spyod pa ,ཆོས་ལ་ལོངས་སྤྱོད་པ་,spyad  spyod  spyad  spyod ,{MV}dharma-saṃbhoga,doctrinal resources; resources with respect to doctrine; resources in terms of phenomena,,,,,,,,,,,,,,,,,,,,,
chos la longs spyod rdzogs pa ,ཆོས་ལ་ལོངས་སྤྱོད་རྫོགས་པ་,spyad  spyod  spyad  spyod ,{MSA}dharma-saṃbhoga,completion of doctrinal resources,,,,,,,,,,,,,,,,,,,,,
chos la longs spyod rdzogs pa rgyun mi 'chad pa ,ཆོས་ལ་ལོངས་སྤྱོད་རྫོགས་པ་རྒྱུན་མི་འཆད་པ་,'chad  'chad  chad  chad ,{MSA}dharma-saṃbhogāviccheda,not cutting off the continuum of completion of doctrinal resources,,,,,,,,,,,,,,,,,,,,,
chos la longs spyod rdzogs par mdzad pa ,ཆོས་ལ་ལོངས་སྤྱོད་རྫོགས་པར་མཛད་པ་,,{MSA}dharma-saṃbhogaṃ karoti,completion of doctrinal resources,,,,,,,,,,,,,,,,,,,,,
chos la sun 'byin pa ,ཆོས་ལ་སུན་འབྱིན་པ་,dbyung  'byin  phyung  phyungs ,{C}dūṣaka,,,{C}defamer; defame,,,,,,,,,,,,,,,,,,,
chos la ser sna med pa ,ཆོས་ལ་སེར་སྣ་མེད་པ་,,{MV}dharmāmatsaritva,not miserly with respect to the doctrine/phenomena {T},,,,,,,,,,,,,,,,,,,,,
chos las chos nyid gzhan yin pa ,ཆོས་ལས་ཆོས་ཉིད་གཞན་ཡིན་པ་,,{MV}dharmād anyā dharmatā,phenomena are different from reality,,,,,,,,,,,,,,,,,,,,,
chos las mi g.yo ,ཆོས་ལས་མི་གཡོ་,,{MSA}dharme 'calaḥ,not wandering from the doctrine {T},,,,,,,,,,,,,,,,,,,,,
chos lugs ,ཆོས་ལུགས་,,,order,,,,,,,,,,,,,,,,,,,,,
chos shes ,ཆོས་ཤེས་,,{C}dharma-jñāna,knowledge of attributes; doctrinal knowledge{Gön-chok},,{C}cognition of Dharma,,,,,,,,,,,,,,,,,,,
chos shes pa ,ཆོས་ཤེས་པ་,,{MSA}dharma-jña; dharmajñāna,knowledge of attributes; doctrinal knowledge,,,,,,,,,,,,,,,,,,,,,
chos bshad pa ,ཆོས་བཤད་པ་,,{MSA}dharma-deśanā,explanation of doctrine,,,,,,,,,,,,,,,,,,,,,
chos sred pa ,ཆོས་སྲེད་པ་,,{C}dharma-tṛṣṇā,attachment to phenomena,,{C}craving for (separate) dharmas,,,,,,,,,,,,,,,,,,,
chos gsum ,ཆོས་གསུམ་,,,three practices,,,,,,,,,,,,,,,,,,,,,
mchan bu ,མཆན་བུ་,,,annotations{N},,,,,,,,,,,,,,,,,,,,,
mchi ,མཆི་,mchi/ mchi/ mchis/ mchis/,,go; come,,,,,,,,,,,,,,,,,,,,,
mchi ba ,མཆི་བ་,mchi/ mchi/ mchis/ mchis/,,go; come,,will be there,,,,,,,,,,,,,,,,,,,
mchi ma ,མཆི་མ་,,{C}aśru; {C}bāṣpa,tear,,,,,,,,,,,,,,,,,,,,,
mchi ma zad pa ,མཆི་མ་ཟད་པ་,,{C}paryātta-bhāṣpa,,,{C}his tears dried up,,,,,,,,,,,,,,,,,,,
mchi ma'i thal ba ,མཆི་མའི་ཐལ་བ་,,{C}kheṭa,,,{C}spittle,,,,,,,,,,,,,,,,,,,
mchin bu ,མཆིན་བུ་,,{C}kāca,,,{C}(spurious) glass,,,,,,,,,,,,,,,,,,,
mchims khro chag ,མཆིམས་ཁྲོ་ཆག་,,,"Chim, the Translator Tro, and the Translator Chak",,,,,,,,,,,,,,,,,,,,,
mchims 'jal dpal dbyangs ,མཆིམས་འཇལ་དཔལ་དབྱངས་,,,,,"{GD:840} [p.n.] Chim-jam-pel-yang, commentator on Vasubandhu",,,,,,,,,,,,,,,,,,,
mchil ,མཆིལ་,,kheṭa,spit,,,,,,,,,,,,,,,,,,,,,
mchil ma ,མཆིལ་མ་,,kheṭa,spit,,,,,,,,,,,,,,,,,,,,,
mchil ma'i thal ba ,མཆིལ་མའི་ཐལ་བ་,,{C}kheṭa,,,{C}spittle,,,,,,,,,,,,,,,,,,,
mchis ,མཆིས་,mchi/ mchi/ mchis/ mchis/ oct tsta rtahg@# tang mchis/ mchis/ mchis/ mchis/ oct shga cat tshpalg@#,,to be; be there; exist (=yod); to go; to come,,,,,,,,,Check tenses {T},,,,,,,,,,,,
mchis pa ,མཆིས་པ་,mchis/ mchis/ mchis/ mchis/,,be; be there; exist; go; come,,,,,,,,,Check tenses {T},,,,,,,,,,,,
mchis pa ma lags pa ,མཆིས་པ་མ་ལགས་པ་,,{C}asaṃvidyamāna,not be; not exist,,{C}which does not exist; non-existent; since he has not got,,,,,,,,,,,,,,,,,,,
mchis pa'i tshe ,མཆིས་པའི་ཚེ་,,,when it was,,,,,,,,,,,,,,,,,,,,,
mchis zhes bgyi ba ,མཆིས་ཞེས་བགྱི་བ་,,{C}astitā,,,{C}existence; beingness; 'there is'; 'it is',,,,,,,,,,,,,,,,,,,
mchu ,མཆུ་,,{C}oṣṭhatā,,,{C}lips,,,,,,,,,,,,,,,,,,,
mche pa'i sde ,མཆེ་པའི་སྡེ་,,,Damṣṭasena,,,,,,,,,"Comment: Also known as Daṃṣṭrāsena, Diṣṭasena, Daṃṣṭasena, Daṃṣṭrāsena, Daṃṣṭasyana, and so forth.",,,,,,,,,,,,
mche ba ,མཆེ་བ་,,{C}daṃṣṭrā,fangs{VM},,{C}eye-tooth,,,,,,,,,,,,,,,,,,,
mched pa ,མཆེད་པ་,,vṛddhiprāpta,increase,,,,,,,,,,,,,,,,,,,,,
mched pa dmar lam pa'i sems ,མཆེད་པ་དམར་ལམ་པའི་སེམས་,,,the mind of radiant red increase,,,,,,,,,,,,,,,,,,,,,
mcher pa ,མཆེར་པ་,,,spleen,,,,,,,,,SW added this entry. Get example from Ship? TDz 851.2 & Das 436.2,,,,,,,,,,,,
mchog ,མཆོག་,,"{C,MSA}uttama; {C,MSA,MV}agra; {MV}agratā; {C,MSA}vara; {C}ukṛṣṭa (=utkṛṣṭa); {MSA}utkarṣa; {MV}utkṛṣṭa(tā); {C}para; {C,MSA}parama; {C,MSA}śreṣṭha; {MSA}uttara; {MSA}tuṣṭatā; {MSA}mahat",supreme. best; superior,,{C}foremost; very fine; beginning; highest; boon; choicest; foremost;  high; highest; unsurpassed; utmost; finest; very fine; others; (the) other; another; foreign; beyond; further;  utmost; outshines them all; highly; exceedingly; completely; foremost; most; furthest; deepest; most excellent; highest (development); a person of authority,,,,,,,,,,,,,,,,,,,
mchog gi chos la zhugs pa ,མཆོག་གི་ཆོས་ལ་ཞུགས་པ་,zhug  'jug  zhugs  zhugs ,{MSA}agra-dharma-pravṛtti,enter into the supreme doctrine,,,,,,,,,,,,,,,,,,,,,
mchog gi dag par mchog tu 'dzin pa ,མཆོག་གི་དག་པར་མཆོག་ཏུ་འཛིན་པ་,gzung  'dzin  bzung  zungs ,{MV}agra-śuddhi-parāmarśana,thoroughly apprehend the supreme purity,,,,,,,,,,,,,,,,,,,,,
mchog gi don ,མཆོག་གི་དོན་,,{MV}agrārtha,supreme meaning; supreme object,,,,,,,,,,,,,,,,,,,,,
mchog gi don chos la bdag med pa ,མཆོག་གི་དོན་ཆོས་ལ་བདག་མེད་པ་,,{MSA}parama-tattva ... dharma-nairātmya,"the supreme meaning/object, the selflessness of persons",,,,,,,,,,,,,,,,,,,,,
mchog gi 'dra ba ,མཆོག་གི་འདྲ་བ་,,{C}go-vṛṣa-,like the best,,{C}like those of an excellent cow,,,,,,,,,,,,,,,,,,,
mchog gi sprul sku ,མཆོག་གི་སྤྲུལ་སྐུ་,,paramanirmāṇa-kāya,Supreme Emanation Body,,,,,,,,,,,,,,,,,,,,,
mchog gi sems can ,མཆོག་གི་སེམས་ཅན་,,{MSA}agra-sattva,supreme sentient being,,,,,,,,,,,,,,,,,,,,,
mchog gis ,མཆོག་གིས་,,{C}nikāma-,,,{C}to his heart's content,,,,,,,,,,,,,,,,,,,
mchog gyur ,མཆོག་གྱུར་,,{MSA}agra,supreme; best; superior,,,,,,,,,,,,,,,,,,,,,
mchog gyur pa ,མཆོག་གྱུར་པ་,,{MSA}agra-bhūtatā,supreme; best; superior,,,,,,,,,,,,,,,,,,,,,
mchog gyur lus ,མཆོག་གྱུར་ལུས་,,{MSA}agra-janmatā,superior body,,,,,,,,,,,,,,,,,,,,,
mchog dga' ,མཆོག་དགའ་,,paramānanda,supreme joy,,,,,,,,,,,,,,,,,,,,,
mchog 'grub ,མཆོག་འགྲུབ་,'grub  'grub  'grubs/grub  grubs ,,achievement of the supreme [i.e. Buddhahood],,,,,,,,,,,,,,,,,,,,,
mchog nyid ,མཆོག་ཉིད་,,{C}agratā; {MSA}agratva; {MSA}paramatva,supremacy; superiority,,{C}highest (possible state of perfection); heights; foremost,,,,,,,,,,,,,,,,,,,
mchog tu ,མཆོག་ཏུ་,,{C}uttama; {C}paramam; {C}agratas; {C}agratu,supremely; greatly; thoroughly; completely,,{C}in front of; summit; foremost; great; highest; best; supreme; unsurpassed; utmost; finest; very fine; very,,,,,,,,,,,,,,,,,,,
mchog tu gyur ,མཆོག་ཏུ་གྱུར་,,agratas,supreme; highest,,{C}in front of,,,,,,,,,,,,,,,,,,,
mchog tu dga' ba ,མཆོག་ཏུ་དགའ་བ་,,{L}prāmodya,supremely happy,,,,,,,,,,,,,,,,,,,,,
mchog tu 'gyur ba ,མཆོག་ཏུ་འགྱུར་བ་,'gyur  'gyurd  gyur  gyurd ,{C}agratā,supreme; highest,,{C}the highest (possible degree of perfection); superiority; highest possible state; heights; foremost; in the first rank,,,,,,,,,,,,,,,,,,,
mchog tu brtan pa yin ,མཆོག་ཏུ་བརྟན་པ་ཡིན་,,{C}dṛḍhatama,supremely stable; thoroughly firm,,{C}very powerful,,,,,,,,,,,,,,,,,,,
mchog tu mi 'dzin pa ,མཆོག་ཏུ་མི་འཛིན་པ་,gzung  'dzin  bzung  zungs ,{C}aparāmṛṣṭa,,,{C}untarnished; intangible,,,,,,,,,,,,,,,,,,,
mchog tu rmad byung ,མཆོག་ཏུ་རྨད་བྱུང་,'byung  'byung  byung  byung ,{C}parama-adbhuta,,,{C}exceedingly wonderful,,,,,,,,,,,,,,,,,,,
mchog tu 'dzin pa ,མཆོག་ཏུ་འཛིན་པ་,gzung  'dzin  bzung  zungs ,{L}parāmarṣa,judgement; misconstrue; seize; remember; consideration,,,,,,,,,,,,,,,,,,,,,
mchog tu 'dzin par byed ,མཆོག་ཏུ་འཛིན་པར་བྱེད་,gzung  'dzin  bzung  zungs ,{C}parāmṛśati (=mā rūpa-ādy-abhiniveṣa-yogena grahīr ity),,,{C}misconstrue as; adhere to; handle,,,,,,,,,,,,,,,,,,,
mchog tu bzung ,མཆོག་ཏུ་བཟུང་,,,very attached,,,,,,,,,,,,,,,,,,,,,
mchog dang ldan pa ,མཆོག་དང་ལྡན་པ་,,{C}avaropeta,endowed with the highest,,{C}planted(?),,,,,,,,,,,,,,,,,,,
mchog dang po ... dam pa,"མཆོག་དང་པོ་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་དམ་པ",,{C}parama,supreme; highest; best,,{C}highly; exceedingly; completely; foremost; most; farthest; deepest; most excellent; highest development,,,,,,,,,,,,,,,,,,,
mchog 'phags bde ba byed ,མཆོག་འཕགས་བདེ་བ་བྱེད་,,{C}parama-ārya-saukhya-kriya,,,{C}the work of the holy which leads to the fullness of bliss,,,,,,,,,,,,,,,,,,,
mchog dman ,མཆོག་དམན་,,,value; superiority and inferiority,,,,,,,,,,,,,,,,,,,,,
